Loan_ID,loan_status,Principal,terms,effective_date,due_date,paid_off_time,past_due_days,age,education,Gender
xqd88160031,1,800,15,09/11/2016,9/25/2016,9/24/2016 14:41,,33,1,1
xqd20160032,1,1000,30,09/11/2016,10/10/2016,10/07/2016 21:48,,37,2,1
xqd20160033,1,1000,30,09/11/2016,10/10/2016,10/09/2016 17:44,,27,2,1
xqd22169034,1,1000,30,09/11/2016,10/10/2016,10/09/2016 7:24,,37,2,1
xqd20160035,1,800,15,09/11/2016,9/25/2016,9/25/2016 21:49,,33,2,1
xqd20160036,1,800,15,09/11/2016,9/25/2016,9/25/2016 9:00,,29,3,1
xqd20160037,1,1000,30,09/11/2016,10/10/2016,10/10/2016 16:00,,27,1,1
xqd20160038,1,700,15,09/11/2016,9/25/2016,9/25/2016 13:00,,33,1,1
xqd20160039,1,1000,15,09/11/2016,9/25/2016,9/25/2016 9:00,,24,2,1
xqd20160040,1,1000,30,09/11/2016,10/10/2016,10/10/2016 11:33,,21,3,1
xqd20160041,1,1000,15,09/11/2016,9/25/2016,9/25/2016 9:00,,32,2,0
xqd20160042,1,800,15,09/11/2016,9/25/2016,9/25/2016 14:36,,30,2,1
xqd20160043,1,1000,7,09/11/2016,9/24/2016,9/24/2016 9:00,,31,3,1
xqd20160044,1,1000,15,09/11/2016,9/25/2016,9/20/2016 15:00,,30,2,1
xqd20160045,1,1000,15,09/11/2016,9/25/2016,9/21/2016 22:29,,24,3,0
xqd20160046,1,800,7,09/11/2016,9/17/2016,09/12/2016 22:17,,35,1,1
xqd20160047,1,1000,30,09/11/2016,10/10/2016,10/08/2016 14:14,,22,1,1
xqd20160048,1,1000,30,09/11/2016,10/10/2016,10/09/2016 8:53,,32,2,1
xqd20160049,1,1000,30,09/11/2016,10/10/2016,10/10/2016 9:00,,32,3,1
xqd20160050,1,800,15,09/11/2016,9/25/2016,9/25/2016 19:21,,50,1,1
xqd20160051,1,800,15,09/11/2016,9/25/2016,9/25/2016 13:00,,27,2,0
xqd20160052,1,1000,30,09/11/2016,10/10/2016,10/10/2016 9:00,,35,3,0
xqd20160053,1,800,15,09/11/2016,9/25/2016,9/13/2016 4:34,,35,3,0
xqd20160054,1,1000,30,09/11/2016,10/10/2016,10/10/2016 9:00,,34,1,1
xqd20160055,1,1000,30,09/11/2016,10/10/2016,10/10/2016 16:00,,21,1,1
xqd20160056,1,1000,15,09/11/2016,9/25/2016,9/25/2016 16:00,,25,2,1
xqd20160057,1,1000,30,09/11/2016,10/10/2016,10/10/2016 9:00,,27,1,1
xqd20160058,1,1000,30,09/11/2016,10/10/2016,10/07/2016 2:33,,26,3,1
xqd20160059,1,800,15,09/11/2016,9/25/2016,9/24/2016 11:40,,44,1,0
xqd20160060,1,800,15,09/11/2016,9/25/2016,9/22/2016 6:38,,39,4,1
xqd20160061,1,1000,30,09/11/2016,10/10/2016,9/30/2016 21:12,,34,3,1
xqd20160062,1,1000,15,09/11/2016,9/25/2016,9/24/2016 13:42,,37,2,1
xqd20160063,1,1000,30,09/11/2016,10/10/2016,10/08/2016 7:25,,34,1,1
xqd20160064,1,1000,30,09/11/2016,10/10/2016,09/12/2016 11:40,,45,2,1
xqd20160065,1,800,15,09/11/2016,9/25/2016,9/25/2016 14:38,,24,1,1
xqd20160066,1,900,15,09/11/2016,9/25/2016,9/25/2016 23:00,,28,2,1
xqd20160067,1,1000,30,09/11/2016,10/10/2016,10/08/2016 12:04,,28,3,1
xqd20160068,1,1000,30,09/11/2016,10/10/2016,10/10/2016 9:00,,37,1,1
xqd20160069,1,300,7,09/11/2016,9/17/2016,9/14/2016 22:05,,35,2,1
xqd20160070,1,1000,30,09/11/2016,10/10/2016,9/24/2016 13:27,,43,3,1
xqd20160071,1,800,15,09/11/2016,9/25/2016,9/22/2016 21:18,,29,2,1
xqd20160072,1,800,15,09/11/2016,9/25/2016,9/24/2016 22:53,,29,1,1
xqd20160073,1,1000,30,09/11/2016,10/10/2016,10/10/2016 16:00,,33,3,0
xqd20160074,1,1000,15,09/11/2016,9/25/2016,9/25/2016 9:00,,34,2,1
xqd20160075,1,1000,15,09/11/2016,9/25/2016,9/25/2016 9:00,,25,2,1
xqd20160076,1,1000,30,09/11/2016,10/10/2016,10/08/2016 13:12,,30,1,1
xqd20160077,1,1000,30,09/11/2016,10/10/2016,10/09/2016 13:49,,31,3,1
xqd20160078,1,1000,30,09/11/2016,10/10/2016,10/10/2016 9:00,,35,2,1
xqd20160079,1,1000,30,09/11/2016,10/10/2016,9/30/2016 14:29,,37,2,0
xqd20160080,1,1000,30,09/11/2016,10/10/2016,10/10/2016 9:00,,44,1,0
xqd20160081,1,1000,30,09/11/2016,10/10/2016,9/21/2016 16:18,,28,1,1
xqd20160082,1,1000,7,09/11/2016,9/17/2016,9/13/2016 14:53,,25,2,1
xqd20160083,1,1000,15,09/11/2016,9/25/2016,9/25/2016 9:00,,29,2,1
xqd20160084,1,800,15,09/11/2016,9/25/2016,9/25/2016 13:00,,33,2,1
xqd20160085,1,1000,30,09/11/2016,10/10/2016,10/10/2016 13:00,,37,1,0
xqd20160086,1,1000,30,09/11/2016,11/09/2016,11/09/2016 9:00,,33,2,1
xqd20160087,1,1000,30,09/11/2016,10/10/2016,10/10/2016 9:00,,24,1,0
xqd20160088,1,1000,30,09/11/2016,10/10/2016,9/17/2016 13:01,,27,2,0
xqd20160089,1,800,15,09/11/2016,9/25/2016,9/21/2016 9:35,,43,3,1
xqd90160090,1,800,15,09/11/2016,9/25/2016,9/24/2016 20:33,,46,1,0
xqd91160291,1,800,15,09/11/2016,9/25/2016,9/25/2016 9:00,,34,2,0
xqd90160092,1,1000,7,09/11/2016,9/17/2016,9/17/2016 9:00,,32,3,0
xqd90163093,1,800,15,09/11/2016,9/25/2016,9/24/2016 0:12,,38,1,1
xqd20160094,1,800,15,09/11/2016,9/25/2016,9/21/2016 12:43,,27,1,1
xqd20167095,1,1000,30,09/11/2016,10/10/2016,10/10/2016 13:00,,33,1,1
xqd20160096,1,1000,30,09/11/2016,10/10/2016,10/08/2016 20:49,,36,2,1
xqd20160097,1,1000,15,09/11/2016,9/25/2016,9/20/2016 5:38,,26,1,1
xqd20160098,1,1000,30,09/11/2016,10/10/2016,10/10/2016 9:01,,34,2,1
xqd20160099,1,1000,30,09/11/2016,10/10/2016,10/10/2016 9:01,,22,1,1
xqd20160100,1,1000,30,09/11/2016,10/10/2016,10/08/2016 16:55,,31,3,0
xqd20160101,1,1000,7,09/11/2016,9/17/2016,9/17/2016 9:00,,29,1,1
xqd20160102,1,800,15,09/11/2016,9/25/2016,9/25/2016 9:00,,38,2,1
xqd20160103,1,1000,30,09/11/2016,10/10/2016,10/10/2016 16:00,,30,2,1
xqd20160104,1,1000,15,09/11/2016,9/25/2016,9/25/2016 23:48,,45,1,1
xqd20160105,1,1000,15,09/11/2016,9/25/2016,9/22/2016 13:15,,35,2,1
xqd20160106,1,1000,30,09/11/2016,10/10/2016,9/23/2016 13:31,,30,2,1
xqd20160107,1,1000,30,09/11/2016,10/10/2016,10/08/2016 17:19,,31,1,1
xqd20160108,1,1000,30,09/11/2016,10/10/2016,10/10/2016 9:01,,31,1,1
xqd20160109,1,1000,30,09/11/2016,10/10/2016,10/09/2016 13:05,,28,2,1
xqd20160110,1,1000,7,09/11/2016,9/24/2016,9/24/2016 13:00,,29,2,1
xqd20160111,1,800,15,09/11/2016,9/25/2016,9/20/2016 20:47,,29,2,1
xqd20160112,1,1000,30,09/11/2016,11/09/2016,11/09/2016 9:00,,27,2,0
xqd20160113,1,1000,30,09/11/2016,10/10/2016,10/10/2016 9:01,,27,2,1
xqd20160114,1,1000,30,09/11/2016,10/10/2016,10/10/2016 13:01,,33,2,1
xqd20160115,1,1000,30,09/11/2016,10/10/2016,10/08/2016 21:39,,28,2,1
xqd20160116,1,1000,15,09/11/2016,9/25/2016,9/25/2016 23:00,,25,1,1
xqd20160117,1,1000,30,09/11/2016,10/10/2016,10/07/2016 14:23,,40,2,1
xqd20160118,1,1000,30,09/11/2016,10/10/2016,10/06/2016 15:25,,23,1,1
xqd20160119,1,1000,30,09/11/2016,10/10/2016,10/08/2016 6:56,,35,3,1
xqd20160120,1,800,15,09/11/2016,9/25/2016,9/16/2016 11:58,,24,2,1
xqd20160121,1,1000,30,09/11/2016,10/10/2016,10/10/2016 16:01,,34,2,1
xqd20160122,1,1000,30,09/11/2016,10/10/2016,9/27/2016 7:02,,22,1,1
xqd20160123,1,1000,15,09/11/2016,10/25/2016,10/25/2016 9:00,,20,2,1
xqd20160124,1,1000,15,09/11/2016,9/25/2016,9/24/2016 11:02,,23,2,1
xqd20160125,1,1000,30,09/11/2016,10/10/2016,9/29/2016 18:57,,33,2,1
xqd20160126,1,1000,30,09/11/2016,10/10/2016,10/10/2016 13:01,,26,2,1
xqd20160127,1,1000,15,09/11/2016,9/25/2016,9/25/2016 9:00,,28,1,1
xqd20160128,1,800,15,09/11/2016,9/25/2016,9/25/2016 12:24,,43,1,1
xqd78160129,1,1000,15,09/11/2016,9/25/2016,9/25/2016 13:00,,34,3,1
xqd20160130,1,1000,30,09/11/2016,10/10/2016,9/26/2016 4:41,,38,3,1
xqd20160131,1,1000,15,09/11/2016,9/25/2016,9/22/2016 15:44,,26,1,1
xqd20160132,1,800,15,09/11/2016,9/25/2016,9/25/2016 16:00,,43,1,1
xqd20160133,1,1000,30,09/11/2016,10/10/2016,10/10/2016 16:13,,26,1,1
xqd20160134,1,1000,30,09/11/2016,10/10/2016,9/30/2016 7:12,,33,2,0
xqd20160135,1,800,15,09/11/2016,9/25/2016,9/23/2016 11:26,,24,2,1
xqd20160136,1,1000,30,09/11/2016,10/10/2016,09/12/2016 10:26,,30,1,1
xqd20160137,1,800,15,09/11/2016,9/25/2016,9/25/2016 13:00,,32,1,0
xqd20160138,1,1000,15,09/11/2016,10/25/2016,10/25/2016 9:00,,22,2,1
xqd20160139,1,1000,15,09/11/2016,9/25/2016,9/22/2016 21:45,,47,1,1
xqd56160140,1,1000,30,09/11/2016,10/10/2016,10/09/2016 20:28,,20,1,1
xqd20160141,1,1000,30,09/11/2016,10/10/2016,10/01/2016 16:48,,28,1,1
xqd20160142,1,800,15,09/11/2016,9/25/2016,9/25/2016 9:01,,35,2,1
xqd20160143,1,1000,7,09/11/2016,9/17/2016,9/15/2016 20:36,,27,1,1
xqd20160144,1,800,15,09/11/2016,9/25/2016,9/21/2016 15:33,,33,2,0
xqd20160145,1,1000,30,09/11/2016,10/10/2016,9/29/2016 13:36,,30,1,1
xqd20160146,1,1000,15,09/11/2016,9/25/2016,9/22/2016 20:51,,31,2,1
xqd20160147,1,1000,30,09/11/2016,11/09/2016,11/09/2016 23:00,,26,2,0
xqd20160148,1,300,7,09/12/2016,9/18/2016,9/18/2016 9:00,,37,4,1
xqd20160149,1,1000,15,09/12/2016,9/26/2016,9/26/2016 9:00,,26,3,1
xqd20160150,1,800,15,09/12/2016,9/26/2016,9/24/2016 10:14,,35,3,1
xqd20160151,1,1000,15,09/12/2016,10/26/2016,10/26/2016 9:00,,29,2,1
xqd34160152,1,800,15,09/12/2016,9/26/2016,9/23/2016 20:30,,23,2,1
xqd20160153,1,500,15,09/12/2016,9/26/2016,9/13/2016 20:17,,23,2,0
xqd20160154,1,1000,15,09/12/2016,9/26/2016,9/26/2016 9:00,,30,2,1
xqd20160155,1,1000,30,09/12/2016,10/11/2016,10/10/2016 7:01,,34,2,1
xqd20160156,1,1000,30,09/12/2016,10/11/2016,10/11/2016 13:00,,36,1,0
xqd20160157,1,1000,15,09/12/2016,9/26/2016,9/26/2016 9:00,,26,3,1
xqd20160158,1,800,15,09/12/2016,9/26/2016,9/24/2016 14:55,,29,1,1
xqd12160159,1,1000,15,09/12/2016,9/26/2016,9/26/2016 9:00,,28,2,0
xqd20160160,1,1000,30,09/12/2016,10/11/2016,9/25/2016 20:56,,27,1,1
xqd20160161,1,1000,15,09/12/2016,9/26/2016,9/22/2016 10:49,,24,1,1
xqd20160162,1,800,15,09/12/2016,9/26/2016,9/25/2016 22:09,,31,3,1
xqd20160163,1,1000,30,09/12/2016,10/11/2016,10/11/2016 9:00,,28,1,1
xqd28160164,1,1000,15,09/12/2016,9/26/2016,9/26/2016 9:00,,27,2,0
xqd20160165,1,1000,15,09/12/2016,9/26/2016,9/26/2016 19:33,,25,1,1
xqd20160166,1,1000,30,09/12/2016,11/10/2016,11/10/2016 16:00,,24,1,1
xqd20160167,1,1000,30,09/12/2016,10/11/2016,10/11/2016 16:00,,28,2,1
xqd20160168,1,800,30,09/12/2016,10/11/2016,10/11/2016 16:00,,28,2,1
xqd20160169,1,1000,15,09/12/2016,9/26/2016,9/26/2016 13:00,,35,1,1
xqd27160170,1,1000,30,09/12/2016,10/11/2016,10/11/2016 13:00,,38,2,1
xqd20160171,1,1000,15,09/12/2016,9/26/2016,9/26/2016 16:00,,38,1,1
xqd20160172,1,1000,30,09/12/2016,10/11/2016,10/11/2016 16:00,,29,2,1
xqd20160173,1,800,15,09/12/2016,9/26/2016,9/26/2016 13:00,,35,1,1
xqd20160174,1,1000,30,09/12/2016,10/11/2016,9/17/2016 7:39,,24,2,1
xqd20160175,1,800,15,09/12/2016,9/26/2016,9/22/2016 10:30,,39,1,1
xqd20160176,1,800,15,09/12/2016,9/26/2016,9/26/2016 13:00,,25,2,1
xqd20160177,1,1000,30,09/12/2016,10/11/2016,10/11/2016 16:00,,38,1,1
xqd20160178,1,1000,30,09/12/2016,10/11/2016,10/10/2016 20:41,,30,2,1
xqd20160179,1,1000,30,09/12/2016,10/11/2016,10/11/2016 9:00,,21,1,1
xqd20160180,1,1000,30,09/12/2016,10/11/2016,10/10/2016 8:04,,46,2,1
xqd20160181,1,1000,15,09/12/2016,9/26/2016,9/24/2016 11:00,,31,1,0
xqd20160182,1,300,7,09/12/2016,9/18/2016,9/17/2016 9:25,,29,1,1
xqd20160183,1,1000,30,09/12/2016,10/11/2016,10/07/2016 11:53,,35,1,1
xqd20160184,1,800,15,09/12/2016,9/26/2016,9/25/2016 8:39,,30,1,1
xqd20160185,1,1000,30,09/12/2016,10/11/2016,10/11/2016 9:00,,27,1,1
xqd20160186,1,1000,30,09/12/2016,10/11/2016,10/10/2016 20:28,,31,1,0
xqd20160187,1,1000,30,09/12/2016,10/11/2016,10/01/2016 10:18,,33,3,1
xqd20160188,1,1000,15,09/12/2016,9/26/2016,9/26/2016 16:00,,34,1,1
xqd20160189,1,800,15,09/12/2016,9/26/2016,9/19/2016 21:07,,28,2,1
xqd20160190,1,800,15,09/12/2016,9/26/2016,9/26/2016 9:00,,42,2,1
xqd20160191,1,1000,30,09/12/2016,10/11/2016,9/30/2016 14:38,,32,2,1
xqd20160192,1,1000,30,09/12/2016,10/11/2016,10/11/2016 13:00,,30,1,1
xqd20160193,1,1000,15,09/12/2016,9/26/2016,9/14/2016 20:31,,25,1,0
xqd20160194,1,1000,30,09/12/2016,10/11/2016,10/11/2016 9:00,,27,1,0
xqd20160195,1,800,15,09/12/2016,9/26/2016,9/24/2016 16:15,,21,2,1
xqd20160196,1,1000,30,09/12/2016,10/11/2016,10/10/2016 15:49,,24,2,1
xqd20160197,1,1000,30,09/12/2016,11/10/2016,11/10/2016 13:00,,29,2,1
xqd20160198,1,1000,15,09/12/2016,9/26/2016,9/23/2016 10:32,,40,2,1
xqd20160199,1,1000,30,09/12/2016,10/11/2016,9/30/2016 14:03,,29,1,1
xqd20160200,1,1000,30,09/12/2016,10/11/2016,10/09/2016 14:17,,29,2,1
xqd20160201,1,1000,15,09/12/2016,9/26/2016,9/20/2016 8:26,,30,2,1
xqd20160202,1,1000,30,09/12/2016,10/11/2016,10/11/2016 23:00,,26,1,0
xqd20160203,1,1000,15,09/12/2016,9/26/2016,9/24/2016 20:47,,36,1,1
xqd20160204,1,800,15,09/12/2016,9/26/2016,9/26/2016 16:00,,27,2,1
xqd20160205,1,1000,30,09/12/2016,10/11/2016,10/11/2016 9:01,,20,2,1
xqd20160206,1,1000,7,09/12/2016,9/18/2016,9/16/2016 14:52,,26,3,0
xqd20160207,1,1000,30,09/12/2016,11/10/2016,11/10/2016 13:00,,26,2,1
xqd20160208,1,1000,30,09/12/2016,10/11/2016,10/09/2016 10:00,,27,2,1
xqd20160209,1,300,7,09/12/2016,9/18/2016,09/12/2016 14:40,,23,1,1
xqd20160210,1,1000,30,09/12/2016,10/11/2016,10/11/2016 16:00,,39,1,1
xqd20160211,1,1000,15,09/12/2016,9/26/2016,9/23/2016 21:58,,27,1,1
xqd20160212,1,1000,30,09/12/2016,10/11/2016,10/08/2016 18:48,,30,1,1
xqd20160213,1,1000,30,09/12/2016,10/11/2016,10/10/2016 16:41,,33,1,0
xqd20160214,1,1000,30,09/12/2016,10/11/2016,10/11/2016 13:01,,27,1,1
xqd20160215,1,1000,30,09/12/2016,10/11/2016,9/16/2016 2:34,,35,1,1
xqd20160216,1,1000,30,09/12/2016,11/10/2016,11/10/2016 16:00,,29,2,0
xqd20160217,1,1000,15,09/12/2016,9/26/2016,9/21/2016 8:11,,50,1,1
xqd20160218,1,800,15,09/12/2016,9/26/2016,9/26/2016 9:00,,31,1,0
xqd20160219,1,1000,15,09/12/2016,9/26/2016,9/26/2016 13:00,,31,1,1
xqd20160220,1,1000,30,09/12/2016,10/11/2016,10/11/2016 13:01,,29,1,1
xqd20160221,1,1000,15,09/12/2016,9/26/2016,9/26/2016 23:00,,35,2,1
xqd20160222,1,1000,30,09/12/2016,10/11/2016,10/11/2016 9:01,,39,2,1
xqd20160223,1,1000,30,09/12/2016,11/10/2016,11/10/2016 13:00,,29,2,1
xqd20160224,1,1000,15,09/12/2016,9/26/2016,9/26/2016 23:00,,30,1,1
xqd20160225,1,1000,30,09/12/2016,10/11/2016,10/09/2016 10:00,,33,3,1
xqd20160226,1,1000,30,09/12/2016,10/11/2016,10/11/2016 13:01,,26,1,1
xqd20160227,1,1000,15,09/12/2016,9/26/2016,9/23/2016 14:01,,25,1,1
xqd20160228,1,800,15,09/12/2016,9/26/2016,9/25/2016 13:29,,37,3,1
xqd20160229,1,800,15,09/12/2016,9/26/2016,9/25/2016 14:50,,26,1,1
xqd20160230,1,800,15,09/12/2016,9/26/2016,9/26/2016 9:00,,26,2,1
xqd20160231,1,1000,15,09/12/2016,10/26/2016,10/26/2016 9:00,,27,2,1
xqd20160232,1,1000,7,09/12/2016,9/25/2016,9/25/2016 9:01,,34,2,0
xqd20160233,1,1000,30,09/12/2016,10/11/2016,10/08/2016 15:35,,37,2,1
xqd20160234,1,1000,30,09/12/2016,10/11/2016,10/11/2016 16:01,,36,1,1
xqd20160235,1,800,15,09/12/2016,9/26/2016,9/26/2016 19:35,,33,1,1
xqd20160236,1,1000,30,09/12/2016,10/11/2016,10/09/2016 21:28,,30,1,1
xqd20160237,1,1000,30,09/12/2016,10/11/2016,10/07/2016 16:45,,30,2,1
xqd20160238,1,800,15,09/12/2016,9/26/2016,9/24/2016 12:13,,36,1,1
xqd20160239,1,1000,15,09/12/2016,10/11/2016,10/11/2016 9:01,,29,2,1
xqd20160240,1,1000,15,09/12/2016,9/26/2016,9/14/2016 23:02,,36,1,1
xqd20160241,1,1000,30,09/12/2016,10/11/2016,10/08/2016 11:03,,32,1,1
xqd20160242,1,1000,15,09/12/2016,9/26/2016,9/26/2016 9:00,,29,1,0
xqd20160243,1,800,15,09/12/2016,9/26/2016,9/26/2016 23:00,,36,3,1
xqd20160244,1,800,15,09/12/2016,9/26/2016,9/25/2016 19:31,,30,1,0
xqd20160245,1,1000,7,9/13/2016,9/19/2016,9/14/2016 19:48,,31,2,1
xqd20160246,1,1000,30,9/13/2016,10/12/2016,10/12/2016 23:00,,19,1,0
xqd20160247,1,800,15,9/13/2016,9/27/2016,9/25/2016 12:48,,26,2,1
xqd20160248,1,800,15,9/13/2016,9/27/2016,9/26/2016 21:18,,34,1,1
xqd20160249,1,1000,30,9/13/2016,10/12/2016,10/07/2016 10:22,,35,1,1
xqd20160250,1,1000,15,9/13/2016,9/27/2016,9/26/2016 6:17,,35,3,0
xqd20160251,1,800,15,9/13/2016,9/27/2016,9/22/2016 16:57,,38,2,1
xqd20160252,1,1000,30,9/13/2016,10/12/2016,10/09/2016 21:57,,29,2,1
xqd20160253,1,1000,30,9/13/2016,10/12/2016,10/04/2016 12:59,,28,1,1
xqd20160254,1,500,7,9/13/2016,9/19/2016,9/17/2016 20:51,,22,1,1
xqd20160255,1,1000,30,9/13/2016,10/12/2016,10/12/2016 23:00,,32,2,1
xqd20160256,1,1000,30,9/13/2016,10/12/2016,10/08/2016 15:51,,31,2,1
xqd20160257,1,800,15,9/13/2016,9/27/2016,9/27/2016 9:00,,28,2,1
xqd20160258,1,1000,15,9/13/2016,9/27/2016,9/27/2016 9:00,,37,2,0
xqd20160259,1,1000,7,9/13/2016,9/19/2016,9/16/2016 15:57,,25,2,1
xqd20160260,1,1000,30,9/13/2016,10/12/2016,10/12/2016 9:00,,19,1,1
xqd20160261,1,800,15,9/13/2016,9/27/2016,9/26/2016 7:48,,51,2,1
xqd20160262,1,1000,15,9/13/2016,9/27/2016,9/21/2016 16:53,,29,1,1
xqd20160263,1,800,30,9/13/2016,10/12/2016,10/11/2016 0:29,,23,2,0
xqd20160264,1,1000,15,9/13/2016,9/27/2016,9/25/2016 10:37,,30,1,1
xqd20160265,1,800,15,9/13/2016,9/27/2016,9/27/2016 13:00,,23,2,1
xqd20160266,1,1000,15,9/13/2016,9/27/2016,9/26/2016 15:10,,34,3,0
xqd20160267,1,800,15,9/13/2016,9/27/2016,9/24/2016 12:46,,31,3,0
xqd20160268,1,1000,15,9/14/2016,9/28/2016,9/28/2016 9:00,,24,1,1
xqd20160269,1,1000,30,9/14/2016,10/13/2016,10/13/2016 9:00,,42,1,1
xqd20160270,1,800,30,9/14/2016,10/13/2016,10/06/2016 12:09,,40,2,0
xqd20160271,1,1000,30,9/14/2016,10/13/2016,10/14/2016 11:03,,29,1,1
xqd20160272,1,1000,30,9/14/2016,10/13/2016,10/08/2016 17:12,,32,2,0
xqd20160273,1,1000,30,9/14/2016,11/12/2016,11/12/2016 9:00,,28,2,1
xqd20160274,1,1000,30,9/14/2016,10/13/2016,10/13/2016 9:00,,35,1,1
xqd20160275,1,1000,30,9/14/2016,10/13/2016,10/13/2016 13:00,,30,3,1
xqd20160276,1,800,15,9/14/2016,9/28/2016,9/27/2016 15:52,,44,2,1
xqd20160277,1,800,15,9/14/2016,9/28/2016,9/28/2016 13:00,,37,1,1
xqd20160278,1,1000,30,9/14/2016,10/13/2016,10/13/2016 9:00,,31,2,1
xqd20160279,1,800,15,9/14/2016,9/28/2016,9/15/2016 0:43,,36,2,1
xqd20160280,1,800,30,9/14/2016,10/13/2016,10/10/2016 10:25,,31,2,1
xqd20160281,1,800,15,9/14/2016,9/28/2016,9/27/2016 20:41,,42,1,1
xqd20160282,1,1000,15,9/14/2016,9/28/2016,9/28/2016 9:00,,28,3,1
xqd20160283,1,1000,30,9/14/2016,10/13/2016,10/06/2016 6:51,,30,2,1
xqd20160284,1,1000,30,9/14/2016,10/13/2016,10/12/2016 6:25,,30,1,1
xqd20160285,1,1000,15,9/14/2016,9/28/2016,9/27/2016 22:50,,24,3,1
xqd20160286,1,1000,30,9/14/2016,11/12/2016,11/12/2016 9:00,,34,3,1
xqd20160287,1,1000,30,9/14/2016,10/13/2016,10/12/2016 12:30,,29,2,1
xqd20160288,1,1000,30,9/14/2016,10/13/2016,10/12/2016 3:49,,38,1,0
xqd20160289,1,1000,30,9/14/2016,10/13/2016,10/13/2016 13:00,,34,3,1
xqd20160290,1,800,15,9/14/2016,9/28/2016,9/27/2016 7:48,,28,1,1
xqd20160291,1,1000,15,9/14/2016,9/28/2016,9/22/2016 9:28,,30,2,0
xqd20160292,1,1000,30,9/14/2016,10/13/2016,10/11/2016 16:33,,41,1,1
xqd20160293,1,1000,30,9/14/2016,10/13/2016,9/18/2016 16:56,,29,2,1
xqd20160294,1,1000,30,9/14/2016,10/13/2016,10/13/2016 9:00,,37,1,1
xqd20160295,1,1000,30,9/14/2016,10/13/2016,10/13/2016 13:00,,36,3,1
xqd20160296,1,1000,30,9/14/2016,10/13/2016,10/13/2016 13:00,,30,2,0
xqd20160297,1,800,15,9/14/2016,9/28/2016,9/21/2016 4:42,,27,2,1
xqd20160298,1,1000,30,9/14/2016,10/13/2016,10/13/2016 9:00,,29,1,1
xqd20160299,1,1000,30,9/14/2016,10/13/2016,10/13/2016 9:00,,40,1,1
xqd20160300,1,1000,30,9/14/2016,10/13/2016,10/13/2016 11:00,,28,2,1
xqd20160301,0,1000,15,09/09/2016,9/23/2016,,76,29,2,1
xqd20160302,0,1000,30,09/09/2016,10/08/2016,,61,37,1,1
xqd20160303,0,1000,30,09/09/2016,10/08/2016,,61,33,1,1
xqd20160304,0,800,15,09/09/2016,9/23/2016,,76,27,2,1
